image_path,label
C:\Users\csais\Desktop\total1\benign\ISIC_0013174_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015993_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013845_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000350_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012475_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000254_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000044_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016008_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000221_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010240_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000201_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000369_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000045_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012833_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013813 (1)_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012800_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013610_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0013226_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012501_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000229_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000206_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000050_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0013226_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000108_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0012756_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000188_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000024_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013997_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000055_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000321_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013766_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012828_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016060_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015563_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011132_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015163_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000555_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014883_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014238_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000243_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013374_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016005_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010862_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000311_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015997_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009905_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015436_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015968_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012224_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000094_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0013167_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014541_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016031_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000067_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0012930_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015163_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000167_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000012_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000313_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015468_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000522_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012772_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000093_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000104_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000138_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015193_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015485_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010171_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000463_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015936_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000259_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000319_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000073_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015113_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000077_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011140_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015482_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012986_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000269_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015982_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000310_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015113_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012932_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000206_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000342_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0013830_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015360_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016055_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014255_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012224_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000338_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000019_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012952_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015964_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0001133_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000533_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000224_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000151_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013948_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0012391_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015939_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015233_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000091_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016002_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016037_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000012_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013365_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000071_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010194_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016016_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014219_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000143_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009971_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016050_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009882_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013472_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000129_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013567_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000310_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009910_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000363_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000149_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015942_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009882_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000531_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000346_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015958_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015641_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011130_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011112_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000292_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0012678_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000116_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011158_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000225_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000129_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000385_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000166_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012845_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016028_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000041_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000145_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015170_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000322_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000150_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010241_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016027_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000082_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000172_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000156_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016035_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009960_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0013134_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000372_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000393_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012214_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000174_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015566_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000004_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010036_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000324_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000255_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000235_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016034_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015994_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000091_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000355_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014222_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000028_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012543_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013813 (1)_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0001103_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016035_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012245_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000254_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014559_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015132_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000325_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011176_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015614_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015972_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009950_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0013059_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016026_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014513_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015958_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015999_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015956_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000118_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0014792_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013490_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014695_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010207_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015004_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000379_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012661_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016041_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015582_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012666_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000111_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014423_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015136_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000156_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011348_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000124_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014189_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013258_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000189_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000324_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016001_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014727_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000269_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000387_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000363_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000382_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000256_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000107_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012329_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014513_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010029_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0015251_seg_180.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009971_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013500_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015959_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0016015_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010441_seg_90.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011112_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0015974_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0014423_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000069_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000204_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013497_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016052_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000204_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000110_seg_270.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011305_seg_0.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000316_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000250_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015941_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000036_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000295_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012415_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010267_seg_270.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0013953_seg_0.jpg,1
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0011132_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0014667_seg_0.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000142_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0013014_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012415_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000385_seg_270.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015440_seg_180.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0015973_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0009905_seg_270.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0012455_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010174_seg_180.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0016002_seg_90.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0000042_seg_0.jpg,0
C:\Users\csais\Desktop\total1\benign\ISIC_0012299_seg_180.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0010034_seg_90.jpg,1
C:\Users\csais\Desktop\total1\benign\ISIC_0000191_seg_90.jpg,0
C:\Users\csais\Desktop\total1\Melanoma\ISIC_0000162_seg_0.jpg,1
